# AMAT exchange matrix
# mode paw_full
# implementation full_grid_only
# response_basis TODO
# shape 27 27
# q_ext 0.000000000000 0.000000000000 0.000000000000
# vasp_storage 0
# i j real imag
     4     23  5.1503015591647458e-05  1.2997054535264572e-05
     4     24 -6.9078045866536133e-05 -1.6403609448284142e-05
     4     25  2.2972196119131573e-04  4.8078512394191286e-08
     4     26 -1.0320708200702266e-07  7.7966651547410912e-07
     4     27 -6.1527204878754465e-06  4.1352410753343942e-05
     5      1 -1.7352500984602986e-09 -9.5990345590797092e-09
     5      2  2.5839967231848354e-05  1.5762735214730078e-03
     5      3  3.1266185931616520e-05  1.5944774281201419e-03
     5      4  1.0357016082021699e-08  2.6631047912376753e-09
     5      5  0.0000000000000000e+00  0.0000000000000000e+00
     5      6 -7.0404050104612509e-02 -1.0364154557480985e-08
     5      7  2.2726805318298003e-07  6.1482563778287223e-06
     5      8  4.6341495052171797e-04 -6.6003534543881460e-05
     5      9  7.0716173608232030e-04 -1.0127534705719592e-04
     5     10 -7.9654659868987658e-06 -5.4281486640962977e-05
     5     11 -6.9825573003744115e-03  2.0558228646736952e-03
     5     12 -2.5986826357463802e-03  7.6512296363069642e-04
     5     13  1.1550096142643786e-07 -4.3599169625066271e-07
     5     14 -2.2461449684133030e-07 -5.4208743754739877e-07
     5     15 -1.5106139156273967e-04 -3.7964697555646783e-04
     5     16 -3.3144224906027303e-10 -1.0812318693299019e-09
     5     17 -1.4626358718127311e-05  4.3860746708593802e-06
     5     18  1.9382216020355741e-04 -5.8121985206483460e-05
     5     19  7.7591066126912246e-07  5.2926243030198635e-06
     5     20  4.6275799005043449e-04 -6.9847299982699662e-05
     5     21  6.8308927884150566e-04 -1.0306379128752978e-04
     5     22  2.7449806897374744e-05  4.4700895209967701e-05
     5     23 -7.0483033441063876e-04  6.9277180471071084e-03
     5     24  2.1994705164455635e-04 -2.5114627524491354e-03
     5     25 -3.8502585537278452e-08 -2.8506329422428932e-07
     5     26  2.9303708962268270e-05 -1.7048693406947347e-07
     5     27  9.1236185654302931e-04 -5.1436995900718783e-06
     6      1 -5.4363680002911470e-10 -7.3172990363936669e-09
     6      2  2.5929058239403634e-05  1.5816804387036162e-03
     6      3  9.7956963085202645e-04  4.9954781102195686e-02
     6      4  2.5532609654914048e-09  8.1853462597572384e-10
     6      5 -7.0404050104619031e-02  1.0368406485524820e-08
     6      6  0.0000000000000000e+00  0.0000000000000000e+00
     6      7  1.3261835936158137e-06  1.8859297288317129e-05
     6      8  7.2317487901914462e-04 -1.0355616395994239e-04
     6      9  1.9409601565453752e-02 -2.7744523449123523e-03
     6     10 -2.9141323064770137e-06 -1.9847833594278289e-05
     6     11 -2.8169531107123252e-03  8.2937480148207940e-04
     6     12 -8.3540025653400379e-02  2.4596443336720328e-02
     6     13  1.3790442055858101e-06 -5.1946159565776571e-06
     6     14  1.8906697347755453e-04  4.5640660372250875e-04
     6     15 -7.0653446630807235e-03 -1.7756506322651321e-02
     6     16  9.4329324759690607e-11 -8.8354458472076534e-09
     6     17  1.9382216000248280e-04 -5.8121985146092152e-05
     6     18  1.0403652876272068e-02 -3.1197924992259415e-03
     6     19  1.9462798857857832e-06  1.3274172061811339e-05
     6     20  6.9894164462947200e-04 -1.0549467367597034e-04
     6     21  1.8698775102765783e-02 -2.8212501718980695e-03
     6     22  9.0019927765631020e-06  1.4657885389413018e-05
     6     23 -3.0106769706453697e-04  2.9591739352855338e-03
     6     24  7.1295841507519600e-03 -8.1409069749977164e-02
     6     25 -1.4812553598004843e-06 -6.7879292758246377e-06
     6     26  9.9610686975124137e-04 -5.5560945755819722e-06
     6     27  3.7351721395910496e-02 -1.9448189231151928e-04
     7      1 -7.7982582116386655e-03  1.6294108395335284e-04
     7      2  5.3625385976837869e-05  6.9750497164002795e-06
     7      3  2.1018433188099311e-05  2.6655494280557575e-06
     7      4 -3.4187480837978465e-04  1.5481956121763125e-07
     7      5  2.2726805318296809e-07 -6.1482563778296973e-06
     7      6  1.3261835936157074e-06 -1.8859297288317177e-05
     7      7  0.0000000000000000e+00  0.0000000000000000e+00
     7      8 -1.2155052565483826e-07  2.6193901202902686e-05
     7      9 -1.9981389694991559e-07  4.8028804516564833e-05
     7     10 -1.5583871850301614e-03 -6.3277905515324739e-08
     7     11 -1.0085398720414937e-07 -7.1177957245875486e-07
     7     12 -6.5159368937309933e-06 -4.6036470640709582e-05
     7     13 -1.4035528014442688e-03 -6.0189025226325011e-04
     7     14  9.0338828109839903e-07 -2.2784144901373710e-07
     7     15 -4.7500574934298604e-05  1.1270449449631611e-05
     7     16 -3.4885060668547361e-04 -7.6152463514267363e-08
     7     17  7.7591060830276039e-07  5.2926239417790970e-06
     7     18  1.9462799395961910e-06  1.3274172428764113e-05
     7     19 -4.0121114282347750e-05 -5.4468690485453743e-09
     7     20 -2.8060282260348522e-08 -6.9543548703716737e-06
     7     21 -4.0994606201366926e-07 -1.0234345427095704e-04
     7     22  1.2155312513932409e-04 -5.2107420541864916e-05
     7     23  3.0355836085269041e-06  7.6610029572716346e-07
     7     24 -7.1704271231338242e-05 -1.7023440288315178e-05
     7     25  2.2109348909874724e-04  4.3704940601739830e-08
     7     26 -2.3602746169305737e-07  1.9833568258957275e-06
     7     27 -8.8591453061989946e-06  8.1949010505455959e-05
     8      1 -1.3776017014038969e-06 -5.4876604675603738e-05
     8      2  9.0998726360080374e-04 -7.2335674830470978e-03
     8      3  3.4880336559899505e-04 -2.8465142729676967e-03
     8      4  6.5770953667753852e-07  5.4781320108465247e-06
     8      5  4.6341495052171027e-04  6.6003534543913851e-05
     8      6  7.2317487901914375e-04  1.0355616395994191e-04
     8      7 -1.2154908159925517e-07 -2.6193911234142424e-05
     8      8  0.0000000000000000e+00  0.0000000000000000e+00
     8      9 -7.1469867088246708e-02  4.0930486565312759e-06
     8     10 -2.2962431616443705e-09 -6.0624954431512310e-07
     8     11  1.5633998983771115e-03 -2.2797151721459701e-04
     8     12  1.4909241973308778e-03 -2.1740782795510826e-04
     8     13  1.7105324453433025e-07 -4.0292462582923669e-07
     8     14  3.8717744356895148e-04  1.5087671681520984e-03
     8     15 -3.3406648357213584e-04 -1.3821054534063264e-03
     8     16 -2.4883039204890495e-08 -6.2742526513434546e-06
     8     17  4.6275799052176292e-04 -6.9847300053801220e-05
     8     18  6.9894164661532055e-04 -1.0549467397590365e-04
     8     19 -2.8060278425639787e-08 -6.9543539290585223e-06
     8     20 -2.0695851968790784e-04  1.7117795917330440e-06
     8     21 -3.5054423049361134e-04  2.8774603631560788e-06
     8     22 -1.0909018887671301e-06 -2.5159479693941352e-06
     8     23  1.1292856273303332e-05 -4.5568291392022004e-05
     8     24  3.2299861591037621e-05 -1.3865070204655775e-04
     8     25 -5.8812879168387413e-08 -1.8174380282673726e-06
     8     26 -2.8828581388142919e-05 -4.0029290301759159e-06
     8     27 -8.3387428045426720e-04 -1.1539365109993285e-04
     9      1 -1.7098988303291874e-06 -6.8245213254534997e-05
     9      2  3.4487491086487398e-04 -2.7401731050859029e-03
     9      3  1.0876738352023956e-02 -8.8721254469018754e-02
     9      4  1.1356623910934002e-06 -2.6841429344362488e-05
     9      5  7.0716173608231857e-04  1.0127534705719527e-04
     9      6  1.9409601565453738e-02  2.7744523449123627e-03
     9      7 -1.9981396700273571e-07 -4.8028803452826048e-05
     9      8 -7.1469867088262307e-02 -4.0930444170732837e-06
     9      9  0.0000000000000000e+00  0.0000000000000000e+00
     9     10 -1.7129507221121605e-07 -4.2047022880209343e-05
     9     11  1.5626204536943907e-03 -2.2776627386097661e-04
     9     12  4.4555345777601951e-02 -6.4945267265564995e-03
     9     13  1.5197674174185432e-05 -3.5850180179038292e-05
     9     14  4.0016875752360201e-04  1.5597607235244624e-03
     9     15 -9.9174311029878968e-03 -4.1040610892252152e-02
     9     16 -2.3561765696112702e-07 -5.9580246764296641e-05
     9     17  6.8308928112705653e-04 -1.0306379163228167e-04
     9     18  1.8698775172741142e-02 -2.8212501824558447e-03
     9     19 -4.0994587022656897e-07 -1.0234340647358457e-04
     9     20 -3.5054423063438957e-04  2.8774603644727119e-06
     9     21 -6.8015204646339616e-03  5.5480534203867019e-05
     9     22 -2.3685184555023073e-05 -5.4623034868905373e-05
     9     23 -4.1837572345345894e-05  1.6878483647596440e-04
     9     24  2.1828340131455799e-03 -9.3670717341952717e-03
     9     25 -3.2384790852812766e-06 -7.5485108465068836e-05
     9     26 -8.8213147474521967e-04 -1.2217342347798065e-04
     9     27 -3.4017039987742748e-02 -4.6801902877609981e-03
    10      1 -3.4807504916277741e-04  7.2870369345215294e-06
    10      2  5.2301986129025525e-06  6.8014419227266273e-07
    10      3  1.2440084172970888e-05  1.5784840489094546e-06
    10      4 -7.7504543400968798e-03  9.7346576093790494e-07
    10      5 -7.9654659869000177e-06  5.4281486640964258e-05
    10      6 -2.9141323064768841e-06  1.9847833594278397e-05
    10      7 -1.5583871850300378e-03  6.3277905515322476e-08
    10      8 -2.2962431620457698e-09  6.0624954431497339e-07
    10      9 -1.7129507221117105e-07  4.2047022880209330e-05
    10     10  0.0000000000000000e+00  0.0000000000000000e+00
    10     11 -4.1677969403911662e-06 -2.9534901205404009e-05
    10     12 -6.7686002652309167e-06 -4.7809050157540247e-05
    10     13  1.5917649286163461e-04  6.8252983467715397e-05
    10     14  1.1092878833144975e-06 -2.8004817533600327e-07
    10     15 -4.5145052021241063e-05  1.0714553257541008e-05
    10     16  2.2972196115858773e-04  4.8078513329133455e-08
    10     17 -3.8502589831450475e-08 -2.8506331857690663e-07
    10     18 -1.4812553928175711e-06 -6.7879293465472809e-06
    10     19  2.2109348890260748e-04  4.3704940504936391e-08
    10     20 -5.8812880869899475e-08 -1.8174389479820590e-06
    10     21 -3.2384792110149223e-06 -7.5485153482701429e-05
    10     22 -3.2910983061184602e-05  1.4109473220221523e-05
    10     23  6.6552681878463794e-06  1.6790981581321891e-06
    10     24 -9.6842906030676190e-05 -2.2989580362259311e-05
    10     25  2.0166748030885990e-04  1.0469517487504139e-08
    10     26 -2.2956486527567102e-07  1.6191252931850401e-06
    10     27 -7.9984520937347853e-06  5.6465301711754154e-05
    11      1 -7.6659698392548891e-07  6.3726678520651384e-06
    11      2 -1.2409160544790492e-04  4.4847939121552032e-04
    11      3 -1.8946470967098439e-04  6.9340979368689559e-04
    11      4 -7.7381781815021197e-06  5.4712538765434142e-05
