# shape 27 27
# i j real imag
     9      9  4.3861617868820701e+00 -3.8684871073541884e-19
     9     10 -3.1956198200923132e-08 -7.8011781818179250e-06
     9     11 -1.9234189407196928e-03  2.8035779559230261e-04
     9     12 -7.3452623530735534e-02  1.0706685134029467e-02
     9     13  2.9956989834946581e-06 -7.0685905126253914e-06
     9     14 -5.3286493502186698e-04 -2.0769844437285240e-03
     9     15  1.7678467365249195e-02  7.3157564611938619e-02
     9     16 -3.3663106383534814e-08 -7.8533138323533246e-06
     9     17 -1.6563132113648184e-03  2.4990162154439437e-04
     9     18 -6.8507833765645260e-02  1.0336386242741481e-02
     9     19 -3.0504165305533065e-08 -7.6469749023788817e-06
     9     20  1.7478221386441322e-03 -1.4358826604042956e-05
     9     21  7.0254581646569295e-02 -5.7307647041238065e-04
     9     22 -2.8358413903039824e-06 -6.5377617302560269e-06
     9     23 -4.8492440077074815e-04  1.9562777877759475e-03
     9     24  1.6028545755932724e-02 -6.8782383135160871e-02
     9     25 -3.0364439369005123e-08 -7.5299262681826005e-06
     9     26 -1.8387656481137315e-03 -2.5271916157088242e-04
     9     27 -7.0102258384823438e-02 -9.6350353197330041e-03
    10      1  2.6718204056018252e-04 -5.5934843062347530e-06
    10      2 -1.4459716297011472e-08 -1.8148585875117801e-09
    10      3 -1.3161931853499061e-07 -1.6544294211792863e-08
    10      4  2.6699459294650017e-04 -3.3243699687176174e-08
    10      5  1.9236226745309688e-09 -1.4248678145225864e-08
    10      6  1.7970700574358599e-08 -1.2286954465420688e-07
    10      7  2.6613200464938784e-04 -1.0727233365115088e-08
    10      8 -1.0542730435167208e-09  2.8590911126972721e-07
    10      9 -3.1956198200895273e-08  7.8011781818179267e-06
    10     10  4.1590719733706374e+00 -8.9053636532078694e-23
    10     11 -4.2622334294044103e-08 -3.0000455526079318e-07
    10     12 -1.1405133176198397e-06 -8.0552067020007661e-06
    10     13  2.4311408336319409e-04  1.0424423321951933e-04
    10     14  2.9466813380141840e-07 -7.4549498314186286e-08
    10     15 -7.9008999086154966e-06  1.8751517430503680e-06
    10     16  2.6660170645662073e-04  4.6956758019494421e-08
    10     17 -2.3144425043150618e-09 -1.4642617335388518e-08
    10     18 -2.0357724798138848e-08 -1.3813244210433879e-07
    10     19  2.6527010488370232e-04  2.4401523095629576e-08
    10     20 -9.1540684989234376e-10 -2.5674254021969510e-07
    10     21 -3.0368040875371603e-08 -7.5299919667482568e-06
    10     22  2.4090608591224166e-04 -1.0328273712706333e-04
    10     23  1.1478933695471999e-07  2.9207418500578352e-08
    10     24 -1.2828290022826295e-06 -3.0492860838554737e-07
    10     25  2.6352653806373911e-04  1.3613668006251818e-08
    10     26 -3.8485883993610441e-08  2.7057705531237568e-07
    10     27 -1.1018051659537174e-06  7.7777763159136631e-06
    11      1 -3.4936988473978905e-08  2.8986841357683738e-07
    11      2  1.3921078901324709e-05 -5.0312086547874372e-05
    11      3  4.8324835232264640e-04 -1.7686040097446025e-03
    11      4 -4.0916276924071271e-08  2.8878140276210013e-07
    11      5  5.1567200029517258e-05  1.5182555294468562e-05
    11      6  1.8042870111108344e-03  5.3122508463651619e-04
    11      7 -4.2864481778162965e-08  3.0184195006217575e-07
    11      8 -5.5957487431267908e-05 -8.1596698794160174e-06
    11      9 -1.9234189407196928e-03 -2.8035779559230255e-04
    11     10 -4.2622334294044248e-08  3.0000455526079249e-07
    11     11  2.8448492966720744e+00  3.7312259174111800e-23
    11     12  1.9926535850219723e-03 -5.7950515865542692e-09
    11     13 -1.5431259141205679e-07  2.5391824759093114e-07
    11     14  6.9446351887938788e-06  6.5022722826300295e-05
    11     15 -1.8681694123410492e-04 -2.0168858832841775e-03
